,task_name,description,category,hd4_phase,predecessors,successors,hash_id,p,t,h,task_seq,primitive_type
uuid-011-002-001,Corrupting Law Enforcement,Leveraging bribery to avoid prosecution.,Corruption & Influence,Dominate,uuid-011-000-001,,,0.72,0.77,0.48,11002001,Unclassified
uuid-011-003-001,Exploiting Police Interactions,Manipulating encounters for intel.,Defense Evasion,Dominate,uuid-011-000-001,,,0.67,0.72,0.53,11003001,Unclassified
uuid-011-004-001,Human Smuggling,Moving operatives across borders.,Transnational Crime,Dominate,uuid-011-000-001,,,0.77,0.82,0.43,11004001,Unclassified
uuid-011-005-001,Drug Trafficking,Generating revenue via drug supply chains.,Financial Crimes,Dominate,uuid-011-000-001,,,0.82,0.87,0.38,11005001,Unclassified
uuid-011-006-001,Arms Trafficking,Acquiring illicit firearms and equipment.,Operational Support,Dominate,uuid-011-000-001,,,0.77,0.82,0.43,11006001,Unclassified
uuid-011-007-001,Cartel Counterintelligence,Neutralizing informants and surveillance.,Counterintelligence,Dominate,uuid-011-000-001,,,0.72,0.77,0.48,11007001,Event
uuid-011-008-001,Coercion and Intimidation,Using violence to control rivals.,Psychological Warfare,Dominate,uuid-011-000-001,,,0.67,0.72,0.53,11008001,Unclassified
uuid-011-009-001,False Flag Cartel Operations,Conducting staged attacks to shift blame.,Deception & Misdirection,Dominate,uuid-011-000-001,,,0.62,0.72,0.53,11009001,Unclassified
uuid-011-010-001,Border Corruption,Bribing customs officials for smuggling.,Corruption & Influence,Dominate,uuid-011-000-001,,,0.72,0.77,0.48,11010001,Unclassified
uuid-011-011-001,Border Tunnel Operations,Using tunnels for smuggling drugs.,Transnational Crime,Dominate,uuid-011-000-001,,,0.77,0.82,0.43,11011001,Unclassified
uuid-011-012-001,Maritime Smuggling,Using vessels to transport contraband.,Transnational Crime,Dominate,uuid-011-000-001,uuid-011-017-001,,0.73,0.78,0.47,11012001,Unclassified
uuid-011-013-001,Airspace Exploitation,Using drones to transport goods.,Transnational Crime,Dominate,uuid-011-000-001,,,0.67,0.72,0.53,11013001,Unclassified
uuid-011-014-001,Border Crossing Counter-Surveillance,Recon on border security.,Counterintelligence,Dominate,uuid-011-000-001,,,0.72,0.77,0.48,11014001,Event
uuid-011-015-001,Document Forgery,Producing fraudulent IDs.,Operational Support,Dominate,uuid-011-000-001,,,0.77,0.82,0.43,11015001,Unclassified
uuid-011-016-001,Reserved Placeholder,Potential future cartel task.,Financial Crimes,Dominate,uuid-011-000-001,,,0.72,0.77,0.48,11016001,Unclassified
uuid-011-017-001,Sicario Deployment,Deploying trained sicarios for coercion and assassination.,Transnational Crime,Dominate,uuid-011-012-001,uuid-006-000-001,,0.71,0.76,0.49,11017001,Unclassified
